Open,Close,High,Low,Volume,Adj. Open,Adj. Close,Adj. High,Adj. Low,Adj. Volume,Date
170.16,172.26,172.3,169.26,25048048.0,170.16,172.26,172.3,169.26,25048048.0,2018-01-02
172.53,172.23,174.55,171.96,28819653.0,172.53,172.23,174.55,171.96,28819653.0,2018-01-03
172.54,173.03,173.47,172.08,22211345.0,172.54,173.03,173.47,172.08,22211345.0,2018-01-04
173.44,175.0,175.37,173.05,23016177.0,173.44,175.0,175.37,173.05,23016177.0,2018-01-05
174.35,174.35,175.61,173.93,20134092.0,174.35,174.35,175.61,173.93,20134092.0,2018-01-08
174.55,174.33,175.06,173.41,21262614.0,174.55,174.33,175.06,173.41,21262614.0,2018-01-09
173.16,174.29,174.3,173.0,23589129.0,173.16,174.29,174.3,173.0,23589129.0,2018-01-10
174.59,175.28,175.4886,174.49,17523256.0,174.59,175.28,175.4886,174.49,17523256.0,2018-01-11
176.18,177.09,177.36,175.65,25039531.0,176.18,177.09,177.36,175.65,25039531.0,2018-01-12
177.9,176.19,179.39,176.14,29159005.0,177.9,176.19,179.39,176.14,29159005.0,2018-01-16
176.15,179.1,179.25,175.07,32752734.0,176.15,179.1,179.25,175.07,32752734.0,2018-01-17
179.37,179.26,180.1,178.25,30234512.0,179.37,179.26,180.1,178.25,30234512.0,2018-01-18
178.61,178.46,179.58,177.41,30827809.0,178.61,178.46,179.58,177.41,30827809.0,2018-01-19
177.3,177.0,177.78,176.6016,26023683.0,177.3,177.0,177.78,176.6016,26023683.0,2018-01-22
177.3,177.04,179.44,176.82,31702531.0,177.3,177.04,179.44,176.82,31702531.0,2018-01-23
177.25,174.22,177.3,173.2,50562257.0,177.25,174.22,177.3,173.2,50562257.0,2018-01-24
174.505,171.11,174.95,170.53,39661804.0,174.505,171.11,174.95,170.53,39661804.0,2018-01-25
172.0,171.51,172.0,170.06,37121805.0,172.0,171.51,172.0,170.06,37121805.0,2018-01-26
170.16,167.96,170.16,167.07,48434424.0,170.16,167.96,170.16,167.07,48434424.0,2018-01-29
165.525,166.97,167.37,164.7,45137026.0,165.525,166.97,167.37,164.7,45137026.0,2018-01-30
166.87,167.43,168.4417,166.5,30984099.0,166.87,167.43,168.4417,166.5,30984099.0,2018-01-31
167.165,167.78,168.62,166.76,38099665.0,167.165,167.78,168.62,166.76,38099665.0,2018-02-01
166.0,160.37,166.8,160.1,85436075.0,166.0,160.37,166.8,160.1,85436075.0,2018-02-02
159.1,157.49,163.88,156.0,66090446.0,159.1,157.49,163.88,156.0,66090446.0,2018-02-05
154.83,163.03,163.72,154.0,66625484.0,154.83,163.03,163.72,154.0,66625484.0,2018-02-06
163.085,159.54,163.4,159.0685,50852130.0,163.085,159.54,163.4,159.0685,50852130.0,2018-02-07
160.29,155.32,161.0,155.03,49594129.0,160.29,155.32,161.0,155.03,49594129.0,2018-02-08
157.07,155.97,157.89,150.24,66723743.0,157.07,155.97,157.89,150.24,66723743.0,2018-02-09
158.5,162.71,163.89,157.51,60560145.0,158.5,162.71,163.89,157.51,60560145.0,2018-02-12
161.95,164.34,164.75,161.65,32104756.0,161.95,164.34,164.75,161.65,32104756.0,2018-02-13
163.045,167.37,167.54,162.88,39669178.0,163.045,167.37,167.54,162.88,39669178.0,2018-02-14
169.79,172.99,173.09,169.0,50609595.0,169.79,172.99,173.09,169.0,50609595.0,2018-02-15
172.36,172.43,174.82,171.77,39638793.0,172.36,172.43,174.82,171.77,39638793.0,2018-02-16
172.05,171.85,174.26,171.42,33531012.0,172.05,171.85,174.26,171.42,33531012.0,2018-02-20
172.83,171.07,174.12,171.01,35833514.0,172.83,171.07,174.12,171.01,35833514.0,2018-02-21
171.8,172.6,173.95,171.71,30504116.0,171.8,172.6,173.95,171.71,30504116.0,2018-02-22
173.67,175.555,175.65,173.54,33329232.0,173.67,175.555,175.65,173.54,33329232.0,2018-02-23
176.35,178.97,179.39,176.21,36886432.0,176.35,178.97,179.39,176.21,36886432.0,2018-02-26
179.1,178.39,180.48,178.16,38685165.0,179.1,178.39,180.48,178.16,38685165.0,2018-02-27
179.26,178.12,180.615,178.05,33604574.0,179.26,178.12,180.615,178.05,33604574.0,2018-02-28
178.54,175.0,179.775,172.66,48801970.0,178.54,175.0,179.775,172.66,48801970.0,2018-03-01
172.8,176.21,176.3,172.45,38453950.0,172.8,176.21,176.3,172.45,38453950.0,2018-03-02
175.21,176.82,177.74,174.52,28401366.0,175.21,176.82,177.74,174.52,28401366.0,2018-03-05
177.91,176.67,178.25,176.13,23788506.0,177.91,176.67,178.25,176.13,23788506.0,2018-03-06
174.94,175.03,175.85,174.27,31703462.0,174.94,175.03,175.85,174.27,31703462.0,2018-03-07
175.48,176.94,177.12,175.07,23163767.0,175.48,176.94,177.12,175.07,23163767.0,2018-03-08
177.96,179.98,180.0,177.39,31385134.0,177.96,179.98,180.0,177.39,31385134.0,2018-03-09
180.29,181.72,182.39,180.21,32055405.0,180.29,181.72,182.39,180.21,32055405.0,2018-03-12
182.59,179.97,183.5,179.24,31168404.0,182.59,179.97,183.5,179.24,31168404.0,2018-03-13
180.32,178.44,180.52,177.81,29075469.0,180.32,178.44,180.52,177.81,29075469.0,2018-03-14
178.5,178.65,180.24,178.0701,22584565.0,178.5,178.65,180.24,178.0701,22584565.0,2018-03-15
178.65,178.02,179.12,177.62,36836456.0,178.65,178.02,179.12,177.62,36836456.0,2018-03-16
177.32,175.3,177.47,173.66,32804695.0,177.32,175.3,177.47,173.66,32804695.0,2018-03-19
175.24,175.24,176.8,174.94,19314039.0,175.24,175.24,176.8,174.94,19314039.0,2018-03-20
175.04,171.27,175.09,171.26,35247358.0,175.04,171.27,175.09,171.26,35247358.0,2018-03-21
170.0,168.845,172.68,168.6,41051076.0,170.0,168.845,172.68,168.6,41051076.0,2018-03-22
168.39,164.94,169.92,164.94,40248954.0,168.39,164.94,169.92,164.94,40248954.0,2018-03-23
168.07,172.77,173.1,166.44,36272617.0,168.07,172.77,173.1,166.44,36272617.0,2018-03-26
173.68,168.34,175.15,166.92,38962839.0,173.68,168.34,175.15,166.92,38962839.0,2018-03-27
